Date,Affected URLs
2025-12-23,4549
2025-12-24,4532
2025-12-25,4514
2025-12-26,4600
2025-12-27,4595
2025-12-28,4541
2025-12-29,4618
2025-12-30,4706
2025-12-31,4699
2026-01-01,4701
2026-01-02,4718
2026-01-03,4669
2026-01-04,4588
2026-01-05,4605
2026-01-06,4666
2026-01-07,4691
2026-01-08,4782
2026-01-09,4724
2026-01-10,4683
2026-01-11,4630
2026-01-12,4318
2026-01-13,4077
2026-01-14,3719
2026-01-15,3358
2026-01-16,3468
2026-01-17,3729
2026-01-18,4275
2026-01-19,4546
2026-01-20,4550
2026-01-21,4580
2026-01-22,4575
2026-01-23,4650
2026-01-24,4679
2026-01-25,4681
2026-01-26,4677
2026-01-27,4755
2026-01-28,4685
2026-01-29,4677
2026-01-30,5079
2026-01-31,5022
2026-02-01,4988
2026-02-02,4902
2026-02-03,4860
2026-02-04,4948
2026-02-05,4957
2026-02-06,4939
2026-02-07,4426
2026-02-08,3396
2026-02-09,3192
2026-02-10,4647
2026-02-11,4861
2026-02-12,5009
2026-02-13,5118
2026-02-14,5142
2026-02-15,5093
2026-02-16,5072
2026-02-17,5143
2026-02-18,5146
2026-02-19,5150
2026-02-20,5121
2026-02-21,5100
2026-02-22,5120
2026-02-23,5078
2026-02-24,5069
2026-02-25,5001
2026-02-26,4997
2026-02-27,4832
2026-02-28,4991
2026-03-01,5091
2026-03-02,5125
2026-03-03,5127
2026-03-04,5068
2026-03-05,5122
2026-03-06,5167
2026-03-07,5056
2026-03-08,4869
2026-03-09,4847
2026-03-10,4944
2026-03-11,4922
2026-03-12,4916
2026-03-13,4892
2026-03-14,4973
2026-03-15,4953
2026-03-16,4962
2026-03-17,4883
2026-03-18,4965
2026-03-19,4965
2026-03-20,5111
2026-03-21,5111